location,events,borough
Bush Terminal Park,206,Brooklyn
Kissena Corridor West,194,Queens
Roy Wilkins Park,176,Queens
Addabbo Park,98,Queens
Reverend T. Wendell Foster Park,97,Bronx
Kennedy Playground /Raymond O'Connor,67,Queens
Big Bush Park,66,Queens
Annunciation Park,40,Manhattan
Parque De Los Ninos,38,Bronx
Park Of The Americas / Linden Park,37,Queens
34 AVENUE between 93 STREET and 94 STREET,31,Queens
PARSONS BOULEVARD between JAMAICA AVENUE and ARCHER AVENUE,31,Queens
Murphy's Brother's Playground,23,Manhattan
Times Square,22,Manhattan
JHS 51 JOP,19,Brooklyn
WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET,19,Manhattan
ROCKWOOD STREET Open Street 2026,18,Bronx
WEST  124 STREET between MOUNT MORRIS PARK WEST and MALCOLM X BOULEVARD,17,Manhattan
EAST FORDHAM ROAD between JEROME AVENUE and WASHINGTON AVENUE,14,Bronx
PRINCE STREET between MULBERRY STREET and MOTT STREET,14,Manhattan
P.S. 29 Ball Field,13,Bronx
Patrick O'Rourke Park (PS 201),13,Brooklyn
Garment District (Broadway Boulevard) Plaza,11,Manhattan
BLEECKER STREET between LEROY STREET and CARMINE STREET,9,Manhattan
BROADWAY between WEST  113 STREET and WEST  116 STREET,9,Manhattan
EAST  149 STREET between MORRIS AVENUE and PARK AVENUE,9,Bronx
EAST  179 STREET between MAPES AVENUE and PROSPECT AVENUE,9,Bronx
East River Waterfront Esplanade,9,Manhattan
Monsignor McGolrick Park,9,Brooklyn
SACKETT STREET between VAN BRUNT STREET and DEAD END,9,Brooklyn
A.R.R.O.W. REC CENTER,7,Queens
WEST   24 STREET between 5 AVENUE and 6 AVENUE,6,Manhattan
WEST   62 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,6,Manhattan
10 AVENUE between WEST   57 STREET and WEST   58 STREET,5,Manhattan
14 AVENUE between 49 STREET and 50 STREET,5,Brooklyn
2 AVENUE between EAST   32 STREET and EAST   33 STREET,5,Manhattan
60 STREET between 3 AVENUE and 4 AVENUE,5,Brooklyn
Al Qui?ones Playground,5,Bronx
EAST    4 STREET between BOWERY and SECOND AVENUE,5,Manhattan
EAST   82 STREET between 1 AVENUE and YORK AVENUE,5,Manhattan
EAST  104 STREET between THIRD AVENUE and SECOND AVENUE,5,Manhattan
EAST  125 STREET between PARK AVENUE and LEXINGTON AVENUE,5,Manhattan
Field Of Dreams Park,5,Bronx
ISHAM STREET between SEAMAN AVENUE and COOPER STREET,5,Manhattan
KNICKERBOCKER AVENUE between STARR STREET and SUYDAM STREET,5,Brooklyn
LENOX AVENUE between WEST  117 STREET and WEST  118 STREET,5,Manhattan
LENOX AVENUE between WEST  136 STREET and WEST  137 STREET,5,Manhattan
NOSTRAND AVENUE between FLATBUSH AVENUE and GLENWOOD ROAD,5,Brooklyn
ROOSEVELT AVENUE between 103 STREET and 104 STREET,5,Queens
SCHENCK AVENUE between NEW LOTS AVENUE and LIVONIA AVENUE,5,Brooklyn
SECOND AVENUE between EAST   97 STREET and EAST   99 STREET,5,Manhattan
